ruleGroupId,ruleGroupName,ruleId,ruleName,matched,topDocId,topTitle,score,ruleScore,vectorScore,reason
rg-d4kki3ed86bs73bnneig,node告警,a-d4kkphed86bs73bnnem0,CPU使用率达到95%,yes,linux-cpu-high-usage-alert,Linux 服务器 CPU 使用率过高告警处理指南,97,80,0.2188,问题描述关键词:CPU使用率达到95%；问题描述关键词:CPU使用率；问题描述关键词:cpu；问题描述tags:cpu；问题描述标题:CPU；语义相似度:0.22
rg-d4kki3ed86bs73bnneig,node告警,a-d4kkphed86bs73bnnemg,磁盘空间使用率达到90%以上,yes,linux-disk-space-high-alert,Linux 服务器磁盘空间使用率过高告警处理指南,58,42,0.2057,问题描述关键词:磁盘空间使用率达到90%；问题描述关键词:磁盘空间使用率；语义相似度:0.21
rg-d4kki3ed86bs73bnneig,node告警,a-d4kkphed86bs73bnnen0,PLM应用磁盘空间剩余小于8G,yes,linux-disk-space-high-alert,Linux 服务器磁盘空间使用率过高告警处理指南,38,22,0.2102,问题描述关键词:磁盘空间剩余小于；语义相似度:0.21
rg-d4kki3ed86bs73bnneig,node告警,a-d4kkphed86bs73bnneng,内存使用率达到95%,yes,linux-memory-high-usage-alert,Linux 服务器内存使用率过高告警处理指南,56,42,0.1813,问题描述关键词:内存使用率达到95%；问题描述关键词:内存使用率；语义相似度:0.18
rg-d4kki3ed86bs73bnneig,node告警,a-d4kkphed86bs73bnneo0,内存使用率达到97%,yes,linux-memory-high-usage-alert,Linux 服务器内存使用率过高告警处理指南,57,42,0.1952,问题描述关键词:内存使用率达到97%；问题描述关键词:内存使用率；语义相似度:0.20
rg-d4kki3ed86bs73bnneig,node告警,a-d4kkphed86bs73bnneog,Windows_磁盘空间使用率超过95%,yes,linux-disk-space-high-alert,Linux 服务器磁盘空间使用率过高告警处理指南,62,42,0.2533,问题描述关键词:Windows_磁盘空间使用率超过95%；问题描述关键词:磁盘空间使用率；语义相似度:0.25
rg-d4kkssud86bs73bnnepg,协同应用监控告警,a-d4kkt86d86bs73bnneqg,JVM内存使用率大于 80%,yes,jvm-gc-thread-alert,JVM GC、线程数量或 Java 运行时异常告警处理指南,83,72,0.1401,问题描述关键词:jvm；问题描述systems:jvm；问题描述tags:jvm；问题描述标题:JVM；语义相似度:0.14
rg-d4kkssud86bs73bnnepg,协同应用监控告警,a-d4kkt86d86bs73bnner0,"GC吞吐率<90%,程序异常",yes,jvm-gc-thread-alert,JVM GC、线程数量或 Java 运行时异常告警处理指南,72,60,0.1576,问题描述关键词:GC吞吐率；问题描述关键词:gc；问题描述tags:gc；问题描述标题:GC；语义相似度:0.16
rg-d4kkssud86bs73bnnepg,协同应用监控告警,a-d4kkt86d86bs73bnnerg,5分钟内GC暂停总时长大于1秒,yes,jvm-gc-thread-alert,JVM GC、线程数量或 Java 运行时异常告警处理指南,93,80,0.1692,问题描述关键词:GC暂停；问题描述关键词:GC暂停总时长；问题描述关键词:gc；问题描述tags:gc；问题描述标题:GC；语义相似度:0.17
rg-d4kkssud86bs73bnnepg,协同应用监控告警,a-d4kkt86d86bs73bnnes0,业务可用性<95% 告警,yes,windows-system-reinstall-or-cache-reset,Windows 系统异常需重装或清空缓存,8,0,0.1053,语义相似度:0.11
rg-d4kkssud86bs73bnnepg,协同应用监控告警,a-d4kkt86d86bs73bnnesg,活跃的守护线程数量 > 500 告警,yes,jvm-gc-thread-alert,JVM GC、线程数量或 Java 运行时异常告警处理指南,57,42,0.1939,问题描述关键词:活跃的守护线程数量；问题描述关键词:守护线程；语义相似度:0.19
rg-d4kkssud86bs73bnnepg,协同应用监控告警,a-d4kkt86d86bs73bnnet0,nacos 注册掉线告警,yes,application-http-5xx-or-unavailable-alert,应用 5xx、4xx 或后端不可用告警处理指南,112,94,0.2339,问题描述关键词:nacos 注册掉线告警；问题描述关键词:nacos；问题描述systems:nacos；问题描述tags:nacos；语义相似度:0.23
rg-d4t81fud86bs73bnnf00,AI智能标书项目,a-d4tmiaud86bs73bnnf3g,Kubernetes节点网络不可用,yes,kubernetes-ops-guide,Kubernetes 运维完全指南,96,80,0.2002,问题描述关键词:kubernetes；问题描述systems:kubernetes；问题描述tags:kubernetes；问题描述标题:Kubernetes；语义相似度:0.20
rg-d4t81fud86bs73bnnf00,AI智能标书项目,a-d4to27ud86bs73bnnf5g,KubernetesPod不健康,yes,kubernetes-ops-guide,Kubernetes 运维完全指南,127,112,0.1978,问题描述关键词:kubernetes；问题描述关键词:pod；问题描述systems:kubernetes；问题描述tags:kubernetes；问题描述tags:pod；问题描述标题:Kubernetes；语义相似度:0.20
rg-d4t81fud86bs73bnnf00,AI智能标书项目,a-d4to3qud86bs73bnnf6g,KubernetesNode内存压力过大,yes,kubernetes-ops-guide,Kubernetes 运维完全指南,96,80,0.2073,问题描述关键词:kubernetes；问题描述systems:kubernetes；问题描述tags:kubernetes；问题描述标题:Kubernetes；语义相似度:0.21
rg-d4t81fud86bs73bnnf00,AI智能标书项目,a-d605camd86bs73digq90,Pod 内存使用率过高,yes,kubernetes-ops-guide,Kubernetes 运维完全指南,40,34,0.0803,问题描述关键词:pod；问题描述tags:pod；语义相似度:0.08
