工单号,问题描述,解决步骤,推荐1,推荐1分数,推荐1原因,推荐2,推荐2分数,推荐2原因,推荐3,推荐3分数,推荐3原因,是否命中
51020152376,黑屏,"""鼠标光标可见，桌面不显示
调出任务管理器运行explorer.exe，电脑配置过低，建议换电脑""",desktop/black-screen-desktop-not-shown,56,问题描述关键词:黑屏；处理记录关键词:鼠标光标可见；处理记录关键词:桌面不显示；处理记录关键词:explorer.exe；处理记录关键词:explorer；处理记录tags:explorer,,,,,,,是
51021860098,没网，mes登不上。轻型车间北二跨K17柱子,认证过多,desktop/network-authentication-unavailable,112,问题描述关键词:没网；处理记录关键词:认证过多；问题描述关键词:mes登不上；问题描述关键词:mes；问题描述systems:mes；问题描述tags:mes；问题描述标题:MES,business-systems/mes-login-network-related,92,问题描述关键词:mes登不上；问题描述关键词:mes；问题描述systems:mes；问题描述tags:mes；问题描述标题:MES,desktop/account-login-failed,58,问题描述关键词:登不上；问题描述关键词:mes；问题描述systems:mes,是
51020112735,技术中心统一管理平台显示登录异常，无法登录,内部平台账号问题,desktop/account-login-failed,53,问题描述关键词:无法登录；问题描述关键词:登录异常；处理记录关键词:账号问题；处理记录标题:账号,,,,,,,是
51021860013,没有网络,保存的MES网页丢失,desktop/network-authentication-unavailable,67,问题描述关键词:没有网络；问题描述关键词:没有网；处理记录关键词:mes；处理记录systems:mes；处理记录tags:mes；处理记录标题:MES,business-systems/mes-login-network-related,35,处理记录关键词:mes；处理记录systems:mes；处理记录tags:mes；处理记录标题:MES,desktop/account-login-failed,22,处理记录关键词:mes；处理记录systems:mes,是
51020120329,外网笔记本上不去网了,"名下绑定设备超出数量
名下绑定设备超出数量
解除绑定",desktop/network-authentication-unavailable,22,问题描述关键词:上不去网,,,,,,,是
51020112510,文档文件打开多个程序自动关闭,office更新,desktop/office-wps-document-open-failed,39,处理记录关键词:office；处理记录systems:office；处理记录tags:office；处理记录标题:Office,business-systems/kms-windows-office-activation,39,处理记录关键词:office；处理记录systems:office；处理记录tags:office；处理记录标题:Office,,,,是
51020152005,打印机卡纸,进纸口卡纸，搓纸轮磨损严重,desktop/printer-paper-jam,42,问题描述关键词:打印机卡纸；问题描述关键词:卡纸；处理记录关键词:进纸口卡纸,printer/printer-paper-jam-feed-failed,18,问题描述关键词:卡纸；处理记录关键词:搓纸轮,,,,是
51020111960,连接不上打印机,电脑垃圾软件太多,printer/shared-printer-connect-failed,22,问题描述关键词:连接不上打印机,desktop/printer-not-working,22,问题描述关键词:连接不上打印机,desktop/windows-system-reinstall-or-cache-reset,10,处理记录关键词:垃圾软件太多,是
51020112438,电脑同时打开两个表格，切换表格时电脑光死机,"wps问题
更新到最新版本",desktop/office-wps-document-open-failed,35,处理记录关键词:wps；处理记录systems:wps；处理记录tags:wps；处理记录标题:WPS,office/wps-feature-missing-or-calculation-slow,35,处理记录关键词:wps；处理记录systems:wps；处理记录tags:wps；处理记录标题:WPS,,,,是
51020112667,加密频繁掉，重启，重新插拔网线都不行。,加密账户问题,network-security/encryption-client-offline,22,问题描述关键词:加密频繁掉,desktop/account-login-failed,10,处理记录关键词:账户问题,network-security/network-cable-port-switch-fault,8,问题描述标题:网线,是
91020110335,主机开不开机,"系统盘损坏
更换系统盘，重新做系统、拷贝数据",desktop/pc-boot-failed,34,问题描述关键词:不开机；问题描述关键词:主机开不开机,,,,,,,是
51020152471,需要安装卫华云盘,安装云盘客户端，设置共享文件。,desktop/shared-file-cloud-drive-access,22,处理记录关键词:共享文件；问题描述关键词:云盘,desktop/software-client-installation,22,问题描述关键词:需要安装,business-systems/cloud-drive-install-sync-access,13,处理记录关键词:云盘安装；处理记录标题:云盘安装,是
51020112418,打印机驱动故障,重新设置打印机服务器地址,printer/printer-driver-install-failed,42,问题描述关键词:打印机驱动；问题描述关键词:驱动故障,,,,,,,是
51021860041,无网络,网络认证问题,desktop/network-authentication-unavailable,30,问题描述关键词:无网络；处理记录关键词:网络认证；处理记录关键词:认证问题,,,,,,,是
51020112030,C盘空间不足，重新分配,清理系统盘垃圾文件，扩容C盘空间,desktop/disk-c-drive-full,22,问题描述关键词:c盘空间不足,,,,,,,是
51020111799,连接不上打印机,人员调动重新连接打印机,printer/shared-printer-connect-failed,38,问题描述关键词:连接不上打印机；处理记录关键词:重新连接打印机；处理记录关键词:连接打印机,desktop/printer-not-working,22,问题描述关键词:连接不上打印机,,,,是
51021860030,打不开机,工位机屏幕坏,desktop/pc-boot-failed,34,问题描述关键词:打不开机；问题描述关键词:不开机,,,,,,,是
51020111511,ppt打不开,Office问题,desktop/office-wps-document-open-failed,91,问题描述关键词:ppt打不开；处理记录关键词:office；问题描述关键词:ppt；处理记录systems:office；处理记录tags:office；问题描述tags:ppt；处理记录标题:Office,business-systems/kms-windows-office-activation,39,处理记录关键词:office；处理记录systems:office；处理记录tags:office；处理记录标题:Office,,,,是
51020120457,连不上网,网络认证问题,desktop/network-authentication-unavailable,38,问题描述关键词:连不上网；处理记录关键词:网络认证；处理记录关键词:认证问题,,,,,,,是
91020220003,打印机，银签卡纸,新纸张规格低,desktop/printer-paper-jam,14,问题描述关键词:卡纸,printer/printer-paper-jam-feed-failed,14,问题描述关键词:卡纸,printer/print-template-or-paper-size-error,10,处理记录关键词:纸张规格,是
51020111781,办公室搬到电气装配备车间102室，帮拉个网线,拉网线 安装打印机4台电脑,network-security/network-cable-port-switch-fault,8,问题描述标题:网线,design-software/cad-install-uninstall-failed,5,处理记录标题:安装,,,,是
51021860134,不通电,开机桌面卡了，重启电脑重新进桌面。,desktop/pc-boot-failed,14,问题描述关键词:不通电,,,,,,,是
91020110232,突然死机，然后就开不了机了,打开工程文件导致内存00% 电脑卡死  ，清空缓存重启电脑。,desktop/pc-boot-failed,22,问题描述关键词:开不了机,desktop/windows-system-reinstall-or-cache-reset,10,处理记录关键词:清空缓存,desktop/pc-performance-slow,10,处理记录关键词:电脑卡；处理记录关键词:卡死,是
51020112438,位置在电器库1办公室，电脑无法打印英文版标识卡,打印模板问题,desktop/printer-not-working,22,问题描述关键词:无法打印,printer/label-printer-paper-recognition,14,问题描述关键词:标识卡,printer/print-template-or-paper-size-error,10,处理记录关键词:打印模板,是
51020112121,新电脑认证助手登录密码报错，其他无法使用，,指导其使用认证。,desktop/network-authentication-unavailable,22,问题描述关键词:认证助手,,,,,,,是
51021860008,不通电加急加急加急,主板坏，更换工位机。,desktop/pc-boot-failed,14,问题描述关键词:不通电,,,,,,,是
51020120329,外网笔记本，OA发协同，上传不了东西了,OA系统更新,business-systems/oa-upload-or-print-slow,92,问题描述关键词:oa发协同；问题描述关键词:oa；问题描述systems:oa；问题描述tags:oa；问题描述标题:OA,desktop/shared-file-cloud-drive-access,66,问题描述关键词:上传不了；问题描述关键词:oa；问题描述systems:oa,printer/print-template-or-paper-size-error,46,问题描述关键词:oa；问题描述systems:oa,是
51020112317,没有加密了,"电脑显示未连接
早上客户不小心动了交换机的电，导致一排断网",network-security/encryption-client-offline,22,问题描述关键词:没有加密,network-security/network-cable-port-switch-fault,6,处理记录关键词:交换机,,,,是
51020111753,电脑总是卡死,配置低，CPU使用率00%，更换主机,desktop/pc-performance-slow,32,问题描述关键词:卡死；处理记录关键词:配置低；处理记录关键词:cpu；处理记录tags:cpu,,,,,,,是
51020112517,运行内存不够报警,清理缓存、系统更新文件，释放空间,hardware/memory-fault-or-insufficient,22,问题描述关键词:运行内存,,,,,,,是
51020112343,C盘可用空间过小,清理缓存文件，释放空间,desktop/disk-c-drive-full,22,问题描述关键词:c盘可用空间过小,,,,,,,是
91020110322,特种东南角五六个摄像头不通,"供电插排断电
特种东配电柜到特种外东南角电路问题，万用表测量中间火线断，使用零线地线重新接线",security/camera-no-signal-or-offline,34,问题描述关键词:摄像头；问题描述关键词:摄像头不通,,,,,,,是
51020151860,北大门道闸东侧西无法关闭,"不会回位，处于常开状态
开箱看数码管报错，确定是第一颗红外问题，清理灰尘解决",security/barrier-gate-abnormal,38,问题描述关键词:道闸；问题描述关键词:无法关闭；处理记录关键词:红外,,,,,,,是
51020151983,南大门道闸维修,"电机无法运行，数码管全报错
底部电机进水更换、交叉测试确定损坏部位、上部限位板更换、红外重固定",security/barrier-gate-abnormal,42,问题描述关键词:道闸；问题描述关键词:道闸维修；处理记录关键词:红外；处理记录关键词:限位,,,,,,,是
51020111337,无法开机,灰尘太大导致内存接触不良,desktop/pc-boot-failed,22,问题描述关键词:无法开机,,,,,,,是
51020111723,开不开机,缓存没清空,desktop/pc-boot-failed,14,问题描述关键词:不开机,desktop/windows-system-reinstall-or-cache-reset,10,处理记录关键词:缓存没清空,,,,是
51020112296,C盘爆满导致excel打不开,系统更新导致C盘资源被大量占用，清理更新数据包。删除垃圾软件。,desktop/office-wps-document-open-failed,62,问题描述关键词:excel打不开；问题描述关键词:excel；问题描述tags:excel,office/wps-feature-missing-or-calculation-slow,42,问题描述关键词:excel；问题描述tags:excel,desktop/disk-c-drive-full,22,问题描述关键词:c盘爆满,是
51020420083,连接不上,信号线接触不良,,,,,,,,,,否
51020111510,电脑卡死，强制启动后，电脑启动不起来，请尽快安排处理,"系统缓存没清空，机械硬盘有坏道
清理缓存，电脑开机后整理资料，更换电脑",desktop/pc-performance-slow,26,问题描述关键词:电脑卡；问题描述关键词:卡死,hardware/disk-fault-not-just-c-drive-full,18,处理记录关键词:机械硬盘有坏道；处理记录关键词:硬盘有坏道,desktop/windows-system-reinstall-or-cache-reset,10,处理记录关键词:缓存没清空,是
51020152504,地磅主电脑屏幕打不开，影响过磅,显示器问题,hardware/monitor-no-display-or-flicker,22,问题描述关键词:屏幕打不开,,,,,,,是
51020112473,没有网络，重型车间南一跨东头激光设备处,"电脑中病毒
下载360杀毒",desktop/network-authentication-unavailable,34,问题描述关键词:没有网络；问题描述关键词:没有网,printer/print-port-deleted-by-security-software,11,处理记录关键词:360；处理记录tags:360,,,,是
51021860008,不通电加急加急加急加急加急，位置在C26柱子,工位机内置插排坏,desktop/pc-boot-failed,14,问题描述关键词:不通电,,,,,,,是
51021860119,打不开,网线松动,network-security/network-cable-port-switch-fault,13,处理记录关键词:网线松动；处理记录标题:网线,,,,,,,是
51020151396,屏幕不亮，无反应，生产急用,显示器电源开关问题,hardware/monitor-no-display-or-flicker,22,问题描述关键词:屏幕不亮,,,,,,,是
51020151983,电气车间南门禁总是重启,"门禁一体机重启，长ping，通有一会断一会
排查电源问题，更换电源",security/access-control-offline-or-reboot,42,问题描述关键词:门禁；问题描述关键词:门禁总是重启；处理记录关键词:门禁一体机,,,,,,,是
51020112472,电脑近期一直卡死、电源直接关机都没有反应、任务管理器也没有反应,机械硬盘有坏道,hardware/disk-fault-not-just-c-drive-full,18,处理记录关键词:机械硬盘有坏道；处理记录关键词:硬盘有坏道,desktop/pc-performance-slow,14,问题描述关键词:卡死,,,,是
51020112819,重要Excel表格文件无法打开，显示文件格式或文件扩展名无效，之前还可以打开,文件损坏,desktop/office-wps-document-open-failed,50,处理记录关键词:文件损坏；问题描述关键词:excel；问题描述tags:excel,office/wps-feature-missing-or-calculation-slow,42,问题描述关键词:excel；问题描述tags:excel,design-software/cad-drawing-open-failed-encryption,10,处理记录关键词:文件损坏,是
51020111931,OA及plm无法打开,准入问题，未通过认证客户端 ，,desktop/account-login-failed,90,问题描述关键词:oa；问题描述关键词:plm；问题描述systems:oa；问题描述systems:plm,business-systems/plm-client-or-login-failed,75,问题描述关键词:plm；问题描述systems:plm；问题描述tags:plm；问题描述标题:PLM；处理记录标题:客户端,design-software/cad-plm-interface-failed,72,问题描述关键词:plm；问题描述systems:plm；问题描述tags:plm；问题描述标题:PLM,是
51021860026,不通电，，军品车间双七东头,工位机插排坏,desktop/pc-boot-failed,14,问题描述关键词:不通电,,,,,,,是
91020110297,经常黑屏重启,系统问题,desktop/black-screen-desktop-not-shown,14,问题描述关键词:黑屏,desktop/windows-system-reinstall-or-cache-reset,10,处理记录关键词:系统问题,,,,是
51021860034,闪屏，地址在c35柱子,信号线松动,hardware/monitor-no-display-or-flicker,22,问题描述关键词:闪屏；处理记录关键词:信号线松,,,,,,,是
